Website,Price,Location,Beds,Baths,Size,Pets
Realtor.com,"$2,200","10 Forest Ave, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$1,600","Belmont Ave, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,600","278 Ralph St, Belleville, NJ 07109",3bed,1bath,Info N/A,Info N/A
Realtor.com,"$1,755 - $2,785","165 Belmont Ave, Belleville, NJ 07109",Studio - 2bed,1 - 2bath,"384 - 1,155 square feet",pet friendly policy
Realtor.com,"$1,900 - $2,260","53 Maier St, Belleville, NJ 07109",1 - 2bed,1bath,"450 - 1,000 square feet",pet friendly policy
Realtor.com,"$1,975","72 Frederick St, Belleville, NJ 07109",3bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,850","60 Salter Pl Unit 1, Belleville, NJ 07109",3bed,2bath,Info N/A,Info N/A
Realtor.com,"$1,800","17 Bellevue Ave, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,650","27 Center St Unit 2, Belleville, NJ 07109",3bed,1bath,Info N/A,Info N/A
Realtor.com,"$1,750","517 Union Ave Unit 1, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,500","71 Newark Pl, Belleville, NJ 07109",3bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,200","373 N 10th St Unit 2, Belleville, NJ 07109",3bed,1bath,969 square feet,Info N/A
Realtor.com,"$1,950","86 Tappan Ave, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$3,000","35 Mount Pleasant Ave # 2, Belleville, NJ 07109",4bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,650","86-88 Heckel St, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,350","72 Newark Pl, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,200","66 Belmont Ave Unit 5, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
Realtor.com,"$2,150","753 Mill St Apt 9, Belleville, NJ 07109",2bed,1bath,800 square feet,Info N/A
Realtor.com,"$2,650","86 Heckel St, Belleville, NJ 07109",2bed,1bath,Info N/A,Info N/A
